Claim,Label
Our product is 100% natural and eco-friendly committed to the planet,1
We are committed to a greener future with every product we create,1
Eco-friendly formula that cares for nature and future generations,1
Our sustainable range is gentle on the earth and environment,1
We care deeply about the environment with our green products,1
Natural ingredients sourced responsibly for planet protection,1
Green formula that is safe for you and safe for the earth,1
Environmentally friendly product made with love for the planet,1
Our eco-conscious brand is dedicated to sustainable living,1
We believe in protecting the environment with natural products,1
Pure and natural formula gentle on skin and gentle on earth,1
Sustainable packaging that reflects our care for the environment,1
We support a healthy planet for future generations with our products,1
Eco-safe and nature-friendly product for conscious consumers,1
Our green initiative helps protect the planet every single day,1
We are proud to be an eco-friendly and responsible company,1
Nature-inspired formula that supports a cleaner greener world,1
Our commitment to sustainability drives everything we do daily,1
Helping the planet one product at a time with our green range,1
Responsible sourcing from nature-friendly farms for better world,1
Our eco formula is good for you and good for the planet naturally,1
We are an environmentally conscious company that puts planet first,1
Green and clean formula made responsibly with care for natural world,1
Sustainably made product that helps protect nature with every purchase,1
We love the planet and our eco range shows dedication to green living,1
Our natural formula is kind to you and kind to the environment,1
Eco-proud brand committed to environmental stewardship every day,1
We strive to protect the earth with our green responsible product range,1
Nature first approach to business helping create a greener world,1
Our sustainable ethos guides our eco-conscious product development,1
We reduced carbon emissions by 35 percent between 2021 and 2023 verified by ISO 14064,0
Our packaging is made from 90 percent post-consumer recycled material certified by FSC,0
Carbon emissions reduced by 38 percent verified annually by Bureau Veritas,0
We achieved zero landfill waste across all 12 manufacturing sites in 2022 TRUE certified,0
Water consumption reduced by 40 percent per unit produced since 2020 tracked via EPA,0
Our factories run on 100 percent renewable energy certified by RE100 initiative since 2021,0
We planted 2 million trees in 2023 through partnership with Arbor Day Foundation GPS verified,0
Product contains 85 percent plant-based ingredients certified by USDA BioPreferred program,0
Scope 1 and 2 emissions reduced by 50 percent since 2018 baseline GHG Protocol verified,0
Detergent formula is 98 percent biodegradable within 72 hours tested per ISO 14593 standard,0
We reduced plastic packaging weight by 35 percent across range between 2020 and 2023,0
Our clothing uses 65 percent less water than conventional production verified by SGS 2022,0
Zero parabens confirmed by independent lab testing at Intertek 2023,0
We signed Science Based Targets initiative in 2021 committing to 1.5 degree aligned reductions,0
Circular economy program recovered and reused 70 percent of product materials in 2023,0
We achieved 100 percent renewable electricity across European operations in 2022 RE100 verified,0
We reduced textile waste by 31 percent in 2023 verified by SGS auditing independently,0
Packaging carbon footprint reduced by 45 percent since 2019 measured per unit Carbon Trust,0
We achieved B Corp certification in 2022 with environmental score of 87 out of 200,0
Freshwater withdrawal reduced by 45 percent per tonne since 2015 baseline CDP reported,0
We invested 50 million dollars in renewable energy infrastructure between 2020 and 2023,0
Our annual sustainability report is audited by Deloitte and publicly available since 2019,0
We achieved ISO 14001 certification across all 8 global manufacturing facilities in 2021,0
Employee environmental training program reached 95 percent of global workforce in 2022,0
Our take-back program collected 3.2 million units for responsible recycling in 2023,0
We use 100 percent recycled aluminum in cans saving 800 tonnes of virgin metal annually,0
Our factory switched to solar power in 2022 reducing electricity emissions by 60 percent,0
Carbon neutral operations since 2021 verified by Gold Standard third party annual audit,0
Our supply chain emissions reduced by 22 percent through supplier engagement since 2019,0
We are going green and reducing our footprint every year across all operations,1
Our products are made sustainably with care for the planet and natural environment,1
We have always believed in eco-friendly practices and responsible manufacturing,1
Our brand is committed to environmental responsibility and green business values,1
We use natural and responsible ingredients to protect the planet we all share,1
Eco certified and planet friendly product made with sustainable natural ingredients,1
We care about reducing our environmental impact and protecting earth for future,1
Our green packaging shows our love for nature and commitment to sustainability,1
We are dedicated to clean and natural production methods that respect the earth,1
